alpha  <E>  <E^2>  Count
________________________
0.25 6.29577 53.6532 806429
0.3 5.49675 40.1994 788847
0.35 4.99722 33.505 772309
0.4 4.62872 27.5432 756753
0.45 4.37514 29.4517 741936
0.5 4.16594 22.484 729936
0.55 4.03951 22.0105 716584
0.6 3.93702 20.3487 704777
0.65 3.86665 19.118 692933
0.7 3.81938 41.3222 682621
0.75 3.79204 19.956 671142
0.8 3.77669 19.7979 661966
0.85 3.77734 23.5926 650841
0.9 3.79089 23.1625 643658
0.95 3.79716 19.4588 634300
1 3.82532 20.538 625824
1.05 3.86142 21.6569 616279
1.1 3.89195 21.3979 606696
1.15 3.93394 21.8206 600165
1.2 3.98317 23.712 592941
1.25 4.03013 24.0032 585566
1.3 4.08003 24.1387 577798
1.35 4.14002 26.7492 570996
1.4 4.19632 31.5142 563733
1.45 4.25489 27.8413 556257
1.5 4.29622 32.4668 549793
1.55 4.38545 31.8129 543838
1.6 4.44096 29.8782 537714
1.65 4.48475 33.3254 530725
1.7 4.56406 32.4206 525519
1.75 4.63768 38.6295 519158
1.8 4.69251 38.0263 514677
1.85 4.75441 37.0319 507264
1.9 4.82076 37.0932 502741
1.95 4.89884 38.2221 496641
2 4.96985 39.666 491664
2.05 5.0443 41.4953 486034
2.1 5.1222 42.3772 480200
2.15 5.18284 44.8538 476340
2.2 5.24818 42.6831 471138
2.25 5.32061 43.2116 465923
2.3 5.41328 46.2588 460405
2.35 5.47326 58.9163 456041
2.4 5.55006 48.9983 451687
2.45 5.62404 51.9597 446936
2.5 5.70627 54.4145 442741
2.55 5.7868 55.3135 437044
2.6 5.82004 55.2322 434310
2.65 5.92527 55.5861 429059
2.7 5.98894 56.211 425225
