MCC  <E>  <E^2>
________________________
1 2.30631 5.31904
2 2.44952 6.02067
3 2.52186 6.38392
4 2.64037 7.03178
5 2.71147 7.42049
6 2.76405 7.71079
7 2.75342 7.64272
8 2.72226 7.4712
9 2.67242 7.2155
10 2.66313 7.15932
11 2.65552 7.11335
12 2.64919 7.07505
13 2.62235 6.93784
14 2.61516 6.89651
15 2.60894 6.8607
16 2.63792 7.02202
17 2.6635 7.16436
18 2.70468 7.41032
19 2.71807 7.48115
20 2.75211 7.68474
21 2.77778 7.83462
22 2.79926 7.95869
23 2.80936 8.01222
24 2.80875 8.00386
25 2.8082 7.99616
26 2.80968 8.00029
27 2.81105 8.00412
28 2.81173 8.00428
29 2.82001 8.04949
30 2.82775 8.09169
31 2.82699 8.08431
32 2.82845 8.08975
33 2.83842 8.14674
34 2.8439 8.17619
35 2.85273 8.22665
36 2.86518 8.30078
37 2.86978 8.32543
38 2.87242 8.3385
39 2.87426 8.34694
40 2.876 8.35496
41 2.87465 8.34523
42 2.87337 8.33597
43 2.87214 8.32714
44 2.87097 8.31871
45 2.87171 8.32125
46 2.87155 8.31871
47 2.8733 8.32735
48 2.88362 8.39031
49 2.89981 8.49496
50 2.92533 8.6738
51 2.95658 8.90421
52 2.97627 9.03764
53 2.99521 9.16604
54 3.01345 9.28968
55 3.03103 9.40883
56 3.04798 9.52372
57 3.06639 9.65111
58 3.07858 9.7302
59 3.09035 9.80661
60 3.10048 9.87107
61 3.10848 9.92033
62 3.12457 10.0323
63 3.13887 10.1303
64 3.15117 10.2128
65 3.17078 10.3571
66 3.18981 10.497
67 3.20826 10.6328
68 3.2322 10.8203
69 3.24184 10.8837
70 3.25728 10.9951
71 3.26988 11.083
72 3.281 11.1593
73 3.28983 11.2175
74 3.30202 11.3033
75 3.30566 11.323
76 3.3092 11.3422
77 3.31278 11.3617
78 3.31626 11.3808
79 3.31965 11.3994
80 3.32265 11.4152
81 3.32594 11.4333
82 3.32915 11.451
83 3.33228 11.4682
84 3.32922 11.4443
85 3.32445 11.4102
86 3.31979 11.377
87 3.31348 11.3344
88 3.30841 11.2991
89 3.30659 11.2833
90 3.3048 11.2679
91 3.30476 11.2638
92 3.30228 11.2443
93 3.29984 11.2251
94 3.29877 11.2146
95 3.29773 11.2043
96 3.29355 11.175
97 3.28827 11.1395
98 3.28419 11.111
99 3.27803 11.071
100 3.272 11.0318
101 3.26608 10.9934
102 3.25881 10.9481
103 3.25308 10.9109
104 3.24503 10.8621
105 3.23713 10.8143
106 3.23087 10.7747
107 3.22473 10.7359
108 3.22045 10.7072
109 3.21671 10.6816
110 3.21445 10.6646
111 3.21249 10.6494
112 3.21075 10.6356
113 3.20804 10.6161
114 3.20538 10.597
115 3.20292 10.5791
116 3.20099 10.5645
117 3.19909 10.55
118 3.19723 10.5358
119 3.19643 10.5282
120 3.19665 10.527
121 3.19686 10.5258
122 3.19497 10.5116
123 3.19359 10.5006
124 3.19283 10.4933
125 3.19207 10.4862
126 3.19133 10.4791
127 3.18956 10.4659
128 3.18781 10.4529
129 3.18482 10.4328
130 3.18284 10.4184
131 3.18088 10.4042
132 3.17939 10.3929
133 3.18093 10.4008
134 3.17999 10.3929
135 3.18307 10.4117
136 3.18611 10.4302
137 3.18814 10.4417
138 3.18925 10.4469
139 3.18933 10.4454
140 3.189 10.4414
141 3.18745 10.4299
142 3.18338 10.4044
143 3.18017 10.3836
144 3.17782 10.3675
145 3.17494 10.3486
146 3.17351 10.338
147 3.17209 10.3274
148 3.17038 10.3153
149 3.16781 10.2981
150 3.1654 10.282
151 3.16107 10.2557
152 3.15575 10.2246
153 3.1505 10.194
154 3.14532 10.1637
155 3.1402 10.1338
156 3.13462 10.1019
157 3.13102 10.0796
158 3.12863 10.0638
159 3.12575 10.0453
160 3.1229 10.0271
161 3.12051 10.0114
162 3.11814 9.99583
163 3.11676 9.98584
164 3.1165 9.98257
165 3.11827 9.99252
166 3.12057 10.0061
167 3.12284 10.0195
168 3.12341 10.0215
169 3.12397 10.0235
170 3.12277 10.0147
171 3.12434 10.0234
172 3.12731 10.0419
173 3.13193 10.073
174 3.1365 10.1038
175 3.14513 10.1694
176 3.15295 10.2278
177 3.16077 10.2863
178 3.16883 10.3472
179 3.17681 10.4074
180 3.18423 10.4627
181 3.19137 10.5156
182 3.19843 10.568
183 3.20541 10.6197
184 3.20813 10.6366
185 3.21048 10.6509
186 3.213 10.6664
187 3.21549 10.6817
188 3.21651 10.6867
189 3.21821 10.6963
190 3.21988 10.7058
191 3.21876 10.697
192 3.21782 10.6894
193 3.21689 10.6818
194 3.21424 10.6645
195 3.21148 10.6465
196 3.21029 10.6374
197 3.20911 10.6284
198 3.20766 10.6179
199 3.20623 10.6075
200 3.20482 10.5972
201 3.20578 10.6019
202 3.20884 10.6218
203 3.21383 10.6573
204 3.21901 10.6944
205 3.22442 10.7337
206 3.23103 10.7837
207 3.23802 10.8373
208 3.24494 10.8903
209 3.2516 10.9411
210 3.25827 10.9921
211 3.26488 11.0426
212 3.27143 11.0926
213 3.27832 11.146
214 3.28506 11.198
215 3.29173 11.2496
216 3.2993 11.3098
217 3.30842 11.3862
218 3.31585 11.4453
219 3.32321 11.504
220 3.33011 11.5582
221 3.33501 11.5939
222 3.33986 11.6294
223 3.3468 11.6844
224 3.35161 11.7197
225 3.35639 11.7546
226 3.36112 11.7893
227 3.36684 11.833
228 3.36868 11.844
229 3.3705 11.8549
230 3.37231 11.8656
231 3.37396 11.8753
232 3.37774 11.902
233 3.38312 11.9429
234 3.38845 11.9835
235 3.39373 12.0238
236 3.39898 12.0637
237 3.40196 12.0839
238 3.40254 12.0858
239 3.40259 12.084
240 3.40214 12.0789
241 3.4017 12.0739
242 3.39927 12.0566
243 3.39593 12.0346
244 3.39278 12.0136
245 3.39023 11.9958
246 3.38703 11.9746
247 3.38421 11.9554
248 3.38141 11.9364
249 3.38001 11.9254
250 3.37689 11.9047
251 3.37408 11.8857
252 3.3713 11.8669
253 3.36759 11.8434
254 3.36411 11.8211
255 3.36066 11.7989
256 3.3567 11.7743
257 3.35301 11.7511
258 3.34934 11.728
259 3.34541 11.7037
260 3.34158 11.6799
261 3.33756 11.6553
262 3.33378 11.6319
263 3.33017 11.6092
264 3.32625 11.5852
265 3.32314 11.5651
266 3.32005 11.5452
267 3.31698 11.5254
268 3.31344 11.5033
269 3.31096 11.4865
270 3.3085 11.4699
271 3.30552 11.4507
272 3.30205 11.4291
273 3.29869 11.4081
274 3.29494 11.3853
275 3.29164 11.3646
276 3.2892 11.3482
277 3.28678 11.332
278 3.28438 11.3159
279 3.28265 11.3035
280 3.28094 11.2912
281 3.27901 11.2777
282 3.27837 11.2718
283 3.27716 11.2624
284 3.27596 11.2531
285 3.27548 11.2482
286 3.27413 11.2381
287 3.27255 11.2267
288 3.27098 11.2153
289 3.27001 11.2074
290 3.26903 11.1995
291 3.26772 11.1897
292 3.26645 11.1801
293 3.26416 11.165
294 3.26188 11.1499
295 3.25968 11.1352
296 3.25832 11.1251
297 3.25652 11.1127
298 3.25473 11.1003
299 3.25323 11.0895
300 3.25226 11.0818
301 3.25002 11.067
302 3.2478 11.0524
303 3.2452 11.0359
304 3.24256 11.0192
305 3.24044 11.0052
306 3.23792 10.9892
307 3.23507 10.9716
308 3.23224 10.9541
309 3.23063 10.9428
310 3.22845 10.9286
311 3.2266 10.9161
312 3.22497 10.9048
313 3.22335 10.8935
314 3.22226 10.8853
315 3.22196 10.8817
316 3.22098 10.8742
317 3.22 10.8666
318 3.21904 10.8591
319 3.21769 10.8495
320 3.21689 10.843
321 3.21616 10.8369
322 3.21542 10.8308
323 3.21401 10.8209
324 3.21201 10.8078
325 3.21005 10.7949
326 3.20751 10.7792
327 3.20548 10.7661
328 3.20349 10.7531
329 3.20193 10.7424
330 3.20134 10.7373
331 3.20178 10.7387
332 3.20168 10.7366
333 3.20158 10.7345
334 3.20077 10.728
335 3.20013 10.7226
336 3.20074 10.7252
337 3.20078 10.7241
338 3.20082 10.7229
339 3.20086 10.7218
340 3.2009 10.7206
341 3.20158 10.7237
342 3.20147 10.7216
343 3.2007 10.7155
344 3.19969 10.7081
345 3.1987 10.7007
346 3.19723 10.6907
347 3.19484 10.676
348 3.19258 10.662
349 3.19037 10.6482
350 3.18817 10.6346
351 3.18581 10.6201
352 3.18409 10.6089
353 3.18238 10.5977
354 3.18048 10.5855
355 3.17889 10.575
356 3.17732 10.5646
357 3.17576 10.5542
358 3.17465 10.5463
359 3.17354 10.5384
360 3.17244 10.5305
361 3.17134 10.5227
362 3.17004 10.5138
363 3.16873 10.5049
364 3.16744 10.496
365 3.16653 10.4893
366 3.16591 10.4842
367 3.16509 10.478
368 3.16426 10.4718
369 3.16477 10.4738
370 3.16532 10.4762
371 3.1649 10.4724
372 3.16449 10.4686
373 3.16375 10.4629
374 3.16338 10.4594
375 3.16311 10.4565
376 3.16369 10.4591
377 3.16386 10.459
378 3.16334 10.4546
379 3.16251 10.4485
380 3.16169 10.4423
381 3.16182 10.442
382 3.16195 10.4417
383 3.16119 10.436
384 3.16045 10.4303
385 3.15991 10.4258
386 3.15997 10.4251
387 3.15923 10.4195
388 3.159 10.4169
389 3.15878 10.4144
390 3.15786 10.4078
391 3.15752 10.4047
392 3.15747 10.4032
393 3.15773 10.4037
394 3.15737 10.4004
395 3.15756 10.4006
396 3.15862 10.4066
397 3.15953 10.4116
398 3.16023 10.4152
399 3.1592 10.408
400 3.15812 10.4006
401 3.15704 10.3932
402 3.15597 10.3858
403 3.15487 10.3783
404 3.15372 10.3705
405 3.15257 10.3627
406 3.15133 10.3545
407 3.14966 10.3441
408 3.14785 10.333
409 3.14596 10.3215
410 3.14416 10.3105
411 3.14212 10.2983
412 3.14012 10.2864
413 3.13856 10.2765
414 3.13683 10.2659
415 3.13533 10.2564
416 3.13385 10.247
417 3.13237 10.2376
418 3.13062 10.2269
419 3.12924 10.218
420 3.12786 10.2092
421 3.126 10.198
422 3.12435 10.1878
423 3.12287 10.1785
424 3.12114 10.168
425 3.1194 10.1574
426 3.11725 10.1449
427 3.11518 10.1328
428 3.11315 10.121
429 3.11156 10.1111
430 3.10997 10.1013
431 3.10887 10.0941
432 3.10777 10.0867
433 3.10667 10.0794
434 3.10567 10.0727
435 3.10469 10.066
436 3.10467 10.0649
437 3.10573 10.071
438 3.10679 10.0771
439 3.10709 10.078
440 3.10738 10.0789
441 3.10769 10.0799
442 3.1089 10.0871
443 3.1101 10.0943
444 3.1113 10.1014
445 3.11399 10.1205
446 3.11668 10.1394
447 3.11935 10.1583
448 3.12201 10.1771
449 3.12377 10.1886
450 3.12644 10.2075
451 3.12917 10.227
452 3.13235 10.2505
453 3.13552 10.2739
454 3.13872 10.2977
455 3.14151 10.3178
456 3.14314 10.3282
457 3.14476 10.3386
458 3.1471 10.3549
459 3.14893 10.3669
460 3.14965 10.3707
461 3.15005 10.3724
462 3.15003 10.3712
463 3.15001 10.3701
464 3.14998 10.369
465 3.15005 10.3685
466 3.14992 10.3667
467 3.14979 10.365
468 3.14992 10.3648
469 3.14997 10.3642
470 3.15056 10.3671
471 3.15114 10.37
472 3.15172 10.3729
473 3.15194 10.3734
474 3.15198 10.3727
475 3.15167 10.3699
476 3.15123 10.3663
477 3.15085 10.363
478 3.15047 10.3598
479 3.1501 10.3566
480 3.14972 10.3534
481 3.1488 10.3471
482 3.14832 10.3433
483 3.14766 10.3385
484 3.14665 10.3317
485 3.14512 10.3223
486 3.14312 10.3108
487 3.1412 10.2997
488 3.13929 10.2886
489 3.13758 10.2784
490 3.13605 10.269
491 3.13451 10.2597
492 3.13343 10.2525
493 3.13315 10.25
494 3.13325 10.2497
495 3.13313 10.2481
496 3.13301 10.2465
497 3.13288 10.2448
498 3.13275 10.2431
499 3.13262 10.2414
500 3.13249 10.2398
501 3.13263 10.2398
502 3.13277 10.2399
503 3.13201 10.2346
504 3.13137 10.2299
505 3.13046 10.2238
506 3.12952 10.2175
507 3.12889 10.213
508 3.12798 10.2068
509 3.12707 10.2008
510 3.1261 10.1943
511 3.12558 10.1904
512 3.12505 10.1864
513 3.12453 10.1824
514 3.12371 10.1768
515 3.12288 10.1712
516 3.12217 10.1662
517 3.12129 10.1603
518 3.12041 10.1544
519 3.1195 10.1484
520 3.11867 10.1427
521 3.11754 10.1356
522 3.11591 10.126
523 3.11429 10.1165
524 3.11348 10.111
525 3.11303 10.1075
526 3.11258 10.104
527 3.11233 10.1017
528 3.11163 10.0968
529 3.11108 10.0927
530 3.11033 10.0876
531 3.10897 10.0794
532 3.1076 10.071
533 3.10605 10.0619
534 3.10484 10.0544
535 3.10364 10.0469
536 3.10232 10.0389
537 3.101 10.0309
538 3.09966 10.0228
539 3.09814 10.0138
540 3.09647 10.0042
541 3.09504 9.9957
542 3.09384 9.98827
543 3.0927 9.98115
544 3.09156 9.97406
545 3.09009 9.9654
546 3.08882 9.95767
547 3.08827 9.95365
548 3.08772 9.94964
549 3.08717 9.94565
550 3.08704 9.94413
551 3.08692 9.94262
552 3.08679 9.94112
553 3.08682 9.94057
554 3.08686 9.94002
555 3.08747 9.94328
556 3.08861 9.95031
557 3.08975 9.95733
558 3.09219 9.97496
559 3.09394 9.98677
560 3.09451 9.98974
561 3.09508 9.9927
562 3.0957 9.99605
563 3.09556 9.99448
564 3.09543 9.99291
565 3.09519 9.99074
566 3.09544 9.99158
567 3.09563 9.99205
568 3.09609 9.99435
569 3.09598 9.99296
570 3.09586 9.99151
571 3.09574 9.99007
572 3.09563 9.98863
573 3.09475 9.98293
574 3.09457 9.98113
575 3.09375 9.97573
576 3.09293 9.97035
577 3.09211 9.96498
578 3.0912 9.95911
579 3.09004 9.95206
580 3.08929 9.94704
581 3.08873 9.94303
582 3.08816 9.93903
583 3.08736 9.93377
584 3.08637 9.92752
585 3.08534 9.92113
586 3.08406 9.91348
587 3.08311 9.90749
588 3.08196 9.90047
589 3.08081 9.8935
590 3.07948 9.88565
591 3.07828 9.87844
592 3.07722 9.87189
593 3.07658 9.8675
594 3.07593 9.86313
595 3.07481 9.85629
596 3.07373 9.84967
597 3.07267 9.84315
598 3.07231 9.84031
599 3.07194 9.83748
600 3.0715 9.83424
601 3.07103 9.83082
602 3.0711 9.83059
603 3.07072 9.82765
604 3.07088 9.828
605 3.07038 9.82442
606 3.07084 9.82669
607 3.07139 9.8296
608 3.07098 9.82657
609 3.0701 9.82096
610 3.06967 9.81781
611 3.06921 9.81449
612 3.06946 9.81536
